"partner","geo","values","iso2","time","type"
"Estonia","Poland",NA,"PL",2014-01-01,"incoming"
"Estonia","Portugal",NA,"PT",2014-01-01,"incoming"
"Estonia","Romania",0,"RO",2014-01-01,"incoming"
"Estonia","Sweden",0,"SE",2014-01-01,"incoming"
"Estonia","Slovenia",0,"SI",2014-01-01,"incoming"
"Estonia","Slovakia",0,"SK",2014-01-01,"incoming"
"Estonia","United Kingdom",0,"UK",2014-01-01,"incoming"
"Greece","Austria",NA,"AT",2014-01-01,"incoming"
"Greece","Belgium",14,"BE",2014-01-01,"incoming"
"Greece","Bulgaria",1,"BG",2014-01-01,"incoming"
"Greece","Switzerland",65,"CH",2014-01-01,"incoming"
"Greece","Cyprus",NA,"CY",2014-01-01,"incoming"
"Greece","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Greece","Germany (until 1990 former territory of the FRG)",282,"DE",2014-01-01,"incoming"
"Greece","Denmark",5,"DK",2014-01-01,"incoming"
"Greece","Estonia",0,"EE",2014-01-01,"incoming"
"Greece","Greece",0,"EL",2014-01-01,"incoming"
"Greece","Spain",NA,"ES",2014-01-01,"incoming"
"Greece","Finland",NA,"FI",2014-01-01,"incoming"
"Greece","France",9,"FR",2014-01-01,"incoming"
"Greece","Croatia",0,"HR",2014-01-01,"incoming"
"Greece","Hungary",2,"HU",2014-01-01,"incoming"
"Greece","Ireland",0,"IE",2014-01-01,"incoming"
"Greece","Iceland",NA,"IS",2014-01-01,"incoming"
"Greece","Italy",NA,"IT",2014-01-01,"incoming"
"Greece","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Greece","Lithuania",0,"LT",2014-01-01,"incoming"
"Greece","Luxembourg",0,"LU",2014-01-01,"incoming"
"Greece","Latvia",0,"LV",2014-01-01,"incoming"
"Greece","Malta",0,"MT",2014-01-01,"incoming"
"Greece","Netherlands",NA,"NL",2014-01-01,"incoming"
"Greece","Norway",NA,"NO",2014-01-01,"incoming"
"Greece","Poland",NA,"PL",2014-01-01,"incoming"
"Greece","Portugal",NA,"PT",2014-01-01,"incoming"
"Greece","Romania",0,"RO",2014-01-01,"incoming"
"Greece","Sweden",0,"SE",2014-01-01,"incoming"
"Greece","Slovenia",0,"SI",2014-01-01,"incoming"
"Greece","Slovakia",0,"SK",2014-01-01,"incoming"
"Greece","United Kingdom",1,"UK",2014-01-01,"incoming"
"Spain","Austria",NA,"AT",2014-01-01,"incoming"
"Spain","Belgium",1,"BE",2014-01-01,"incoming"
"Spain","Bulgaria",0,"BG",2014-01-01,"incoming"
"Spain","Switzerland",2,"CH",2014-01-01,"incoming"
"Spain","Cyprus",NA,"CY",2014-01-01,"incoming"
"Spain","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Spain","Germany (until 1990 former territory of the FRG)",2,"DE",2014-01-01,"incoming"
"Spain","Denmark",0,"DK",2014-01-01,"incoming"
"Spain","Estonia",0,"EE",2014-01-01,"incoming"
"Spain","Greece",0,"EL",2014-01-01,"incoming"
"Spain","Spain",NA,"ES",2014-01-01,"incoming"
"Spain","Finland",NA,"FI",2014-01-01,"incoming"
"Spain","France",3,"FR",2014-01-01,"incoming"
"Spain","Croatia",0,"HR",2014-01-01,"incoming"
"Spain","Hungary",0,"HU",2014-01-01,"incoming"
"Spain","Ireland",1,"IE",2014-01-01,"incoming"
"Spain","Iceland",NA,"IS",2014-01-01,"incoming"
"Spain","Italy",NA,"IT",2014-01-01,"incoming"
"Spain","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Spain","Lithuania",0,"LT",2014-01-01,"incoming"
"Spain","Luxembourg",0,"LU",2014-01-01,"incoming"
"Spain","Latvia",0,"LV",2014-01-01,"incoming"
"Spain","Malta",0,"MT",2014-01-01,"incoming"
"Spain","Netherlands",NA,"NL",2014-01-01,"incoming"
"Spain","Norway",NA,"NO",2014-01-01,"incoming"
"Spain","Poland",NA,"PL",2014-01-01,"incoming"
"Spain","Portugal",NA,"PT",2014-01-01,"incoming"
"Spain","Romania",0,"RO",2014-01-01,"incoming"
"Spain","Sweden",0,"SE",2014-01-01,"incoming"
"Spain","Slovenia",1,"SI",2014-01-01,"incoming"
"Spain","Slovakia",0,"SK",2014-01-01,"incoming"
"Spain","United Kingdom",0,"UK",2014-01-01,"incoming"
"Finland","Austria",NA,"AT",2014-01-01,"incoming"
"Finland","Belgium",23,"BE",2014-01-01,"incoming"
"Finland","Bulgaria",1,"BG",2014-01-01,"incoming"
"Finland","Switzerland",19,"CH",2014-01-01,"incoming"
"Finland","Cyprus",NA,"CY",2014-01-01,"incoming"
"Finland","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Finland","Germany (until 1990 former territory of the FRG)",48,"DE",2014-01-01,"incoming"
"Finland","Denmark",17,"DK",2014-01-01,"incoming"
"Finland","Estonia",20,"EE",2014-01-01,"incoming"
"Finland","Greece",0,"EL",2014-01-01,"incoming"
"Finland","Spain",NA,"ES",2014-01-01,"incoming"
"Finland","Finland",NA,"FI",2014-01-01,"incoming"
"Finland","France",42,"FR",2014-01-01,"incoming"
"Finland","Croatia",0,"HR",2014-01-01,"incoming"
"Finland","Hungary",12,"HU",2014-01-01,"incoming"
"Finland","Ireland",1,"IE",2014-01-01,"incoming"
"Finland","Iceland",NA,"IS",2014-01-01,"incoming"
"Finland","Italy",NA,"IT",2014-01-01,"incoming"
"Finland","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Finland","Lithuania",4,"LT",2014-01-01,"incoming"
"Finland","Luxembourg",4,"LU",2014-01-01,"incoming"
"Finland","Latvia",0,"LV",2014-01-01,"incoming"
"Finland","Malta",14,"MT",2014-01-01,"incoming"
"Finland","Netherlands",NA,"NL",2014-01-01,"incoming"
"Finland","Norway",NA,"NO",2014-01-01,"incoming"
"Finland","Poland",NA,"PL",2014-01-01,"incoming"
"Finland","Portugal",NA,"PT",2014-01-01,"incoming"
"Finland","Romania",1,"RO",2014-01-01,"incoming"
"Finland","Sweden",0,"SE",2014-01-01,"incoming"
"Finland","Slovenia",4,"SI",2014-01-01,"incoming"
"Finland","Slovakia",6,"SK",2014-01-01,"incoming"
"Finland","United Kingdom",5,"UK",2014-01-01,"incoming"
"France","Austria",NA,"AT",2014-01-01,"incoming"
"France","Belgium",156,"BE",2014-01-01,"incoming"
"France","Bulgaria",3,"BG",2014-01-01,"incoming"
"France","Switzerland",62,"CH",2014-01-01,"incoming"
"France","Cyprus",NA,"CY",2014-01-01,"incoming"
"France","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"France","Germany (until 1990 former territory of the FRG)",134,"DE",2014-01-01,"incoming"
"France","Denmark",2,"DK",2014-01-01,"incoming"
"France","Estonia",0,"EE",2014-01-01,"incoming"
"France","Greece",0,"EL",2014-01-01,"incoming"
"France","Spain",NA,"ES",2014-01-01,"incoming"
"France","Finland",NA,"FI",2014-01-01,"incoming"
"France","France",0,"FR",2014-01-01,"incoming"
"France","Croatia",0,"HR",2014-01-01,"incoming"
"France","Hungary",55,"HU",2014-01-01,"incoming"
"France","Ireland",2,"IE",2014-01-01,"incoming"
"France","Iceland",NA,"IS",2014-01-01,"incoming"
"France","Italy",NA,"IT",2014-01-01,"incoming"
"France","Liechtenstein",0,"LI",2014-01-01,"incoming"
"France","Lithuania",1,"LT",2014-01-01,"incoming"
