"partner","geo","values","iso2","type"
"Finland","Spain",NA,"ES","incoming"
"Finland","Finland",NA,"FI","incoming"
"Finland","France",42,"FR","incoming"
"Finland","Croatia",0,"HR","incoming"
"Finland","Hungary",12,"HU","incoming"
"Finland","Ireland",1,"IE","incoming"
"Finland","Iceland",NA,"IS","incoming"
"Finland","Italy",NA,"IT","incoming"
"Finland","Liechtenstein",0,"LI","incoming"
"Finland","Lithuania",4,"LT","incoming"
"Finland","Luxembourg",4,"LU","incoming"
"Finland","Latvia",0,"LV","incoming"
"Finland","Malta",14,"MT","incoming"
"Finland","Netherlands",NA,"NL","incoming"
"Finland","Norway",NA,"NO","incoming"
"Finland","Poland",NA,"PL","incoming"
"Finland","Portugal",NA,"PT","incoming"
"Finland","Romania",1,"RO","incoming"
"Finland","Sweden",0,"SE","incoming"
"Finland","Slovenia",4,"SI","incoming"
"Finland","Slovakia",6,"SK","incoming"
"Finland","United Kingdom",5,"UK","incoming"
"France","Austria",NA,"AT","incoming"
"France","Belgium",156,"BE","incoming"
"France","Bulgaria",3,"BG","incoming"
"France","Switzerland",62,"CH","incoming"
"France","Cyprus",NA,"CY","incoming"
"France","Czech Republic",NA,"CZ","incoming"
"France","Germany (until 1990 former territory of the FRG)",134,"DE","incoming"
"France","Denmark",2,"DK","incoming"
"France","Estonia",0,"EE","incoming"
"France","Greece",0,"EL","incoming"
"France","Spain",NA,"ES","incoming"
"France","Finland",NA,"FI","incoming"
"France","France",0,"FR","incoming"
"France","Croatia",0,"HR","incoming"
"France","Hungary",55,"HU","incoming"
"France","Ireland",2,"IE","incoming"
"France","Iceland",NA,"IS","incoming"
"France","Italy",NA,"IT","incoming"
"France","Liechtenstein",0,"LI","incoming"
"France","Lithuania",1,"LT","incoming"
"France","Luxembourg",11,"LU","incoming"
"France","Latvia",3,"LV","incoming"
"France","Malta",2,"MT","incoming"
"France","Netherlands",NA,"NL","incoming"
"France","Norway",NA,"NO","incoming"
"France","Poland",NA,"PL","incoming"
"France","Portugal",NA,"PT","incoming"
"France","Romania",0,"RO","incoming"
"France","Sweden",0,"SE","incoming"
"France","Slovenia",2,"SI","incoming"
"France","Slovakia",2,"SK","incoming"
"France","United Kingdom",8,"UK","incoming"
"Croatia","Austria",NA,"AT","incoming"
"Croatia","Belgium",0,"BE","incoming"
"Croatia","Bulgaria",0,"BG","incoming"
"Croatia","Switzerland",0,"CH","incoming"
"Croatia","Cyprus",NA,"CY","incoming"
"Croatia","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Croatia","Denmark",0,"DK","incoming"
"Croatia","Estonia",0,"EE","incoming"
"Croatia","Greece",0,"EL","incoming"
"Croatia","Spain",NA,"ES","incoming"
"Croatia","Finland",NA,"FI","incoming"
"Croatia","France",0,"FR","incoming"
"Croatia","Croatia",0,"HR","incoming"
"Croatia","Hungary",1,"HU","incoming"
"Croatia","Ireland",0,"IE","incoming"
"Croatia","Italy",NA,"IT","incoming"
"Croatia","Liechtenstein",0,"LI","incoming"
"Croatia","Lithuania",0,"LT","incoming"
"Croatia","Luxembourg",0,"LU","incoming"
"Croatia","Latvia",0,"LV","incoming"
"Croatia","Malta",0,"MT","incoming"
"Croatia","Norway",NA,"NO","incoming"
"Croatia","Romania",0,"RO","incoming"
"Croatia","Sweden",0,"SE","incoming"
"Croatia","Slovenia",0,"SI","incoming"
"Croatia","Slovakia",0,"SK","incoming"
"Croatia","United Kingdom",0,"UK","incoming"
"Hungary","Austria",NA,"AT","incoming"
